Descriptionen,Count
"Vimto, still",61
Pom Bears (crisps),52
Pringles,18
Cheesy mash,15
Fanta,10
Magnum classic or white,10
Smarties,8
Lollipops (e.g. Chupa Chups),7
Fox's party rings,6
Walker Sensations crisps,6
Poppadums,5
Fanta Zero,4
Malteser bunny,3
7 up / Sprite,3
Solero,3
Kinder Bueno,2
"Yam, fried (Mach alu (Dioscorea species) vaga)",2
Lentil dahl / Tarka dahl,2
Time Out bar,1
Ferrero Rocher,1
Tyrells crisps,1
Tahini,1
"Yellow lentil dahl, with ghee (Dal tarka/ Dal fry / Dal tadka/ Yellow dal/ Thalicha paruppu/ Parrupu poruchadhu)",1
Red gram dahl (Arhar dal),1
"Vimto, fizzy",1
