food_name_clean,Descriptionen,Foodgroupen,NOVA_step1,Match_reason
natural yoghurt,Natural yoghurt,Whole milk yoghurt/fromage frais,1.0,plain dairy
spinach raw not baby spinach,"Spinach, raw (not baby spinach)","Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",1.0,raw
oats uncooked,Oats (uncooked),"Other breakfast cereals: muesli, bran flakes",,
savoury cracker eg sesame and poppy thins butter puffs onion crackers monaco,"Savoury cracker (e.g. Sesame and poppy thins, butter puffs, onion crackers, monaco)","Savoury biscuits and baked goods eg crackers, oatcakes, water biscuits, cheddars, cheese/savoury scones",4.0,snack item
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water
carrot soup eg carrot & coriander,Carrot soup (e.g. carrot & coriander),Soups,,
pain au chocolat/chocolate croissant,Pain au chocolat/chocolate croissant,"Cakes: sweet buns, sweet pastries, fruit scones and custard tart (sweet but not savoury based items)",,
dried apple,Dried apple,Dried fruit,,
tomato based pasta sauce home made,"Tomato based pasta sauce, home made","Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",3.0,homemade item
apple and mango juice,Apple and mango juice,Fruit juices e.g. fresh orange juice,,
apple skin eaten,"Apple, skin eaten",Fresh fruit,,
red cabbage raw,"Red cabbage, raw","Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",1.0,raw
jam/conserve berries eg strawberry,"Jam/conserve, berries (e.g. strawberry)","Preserves and syrups: glace cherries, honey, jam, marmalade, lemon curd, marzipan, mincemeat, chocolate spread, ice cream topping",1.0,raw
fruit yoghurt,Fruit yoghurt,Whole milk yoghurt/fromage frais,,
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water
semi skimmed milk,Semi skimmed milk,Semi-skimmed milks: includes longlife semi-skimmed,,
kiwi fruit,Kiwi fruit,Fresh fruit,,
pasta shapes wholemeal,"Pasta shapes, wholemeal",Pasta,,
focaccia bread,Focaccia bread,"Other breads with >8g/100g fat: naan, chapatis (made with fat), fried papadums, croissants, fried bread",,
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water
banana,Banana,Fresh fruit,,
side salad eg including lettuce tomato cucumber no dressing,"Side salad (e.g. including lettuce, tomato, cucumber), no dressing","Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,
white bread,White bread,White bread/rolls,,
baked potato / jacket potato skin eaten,"Baked potato / jacket potato, skin eaten",Jacket potatoes: baked in skins,,
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water
special flakes with berries/fruit eg kellogg's special k,"Special Flakes, with berries/fruit (e.g. Kellogg's Special K)","Other breakfast cereals: muesli, bran flakes",,
broccoli boiled,"Broccoli, boiled","Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",3.0,boiled or mashed
clover spread/margarine,Clover spread/margarine,Dairy fat spreads includes hard marg,4.0,processed fat
tuna mayonnaise home made,"Tuna mayonnaise, home made",Oily fish,3.0,homemade item
oatcakes / oat cakes,Oatcakes / Oat cakes,"Savoury biscuits and baked goods eg crackers, oatcakes, water biscuits, cheddars, cheese/savoury scones",,
dried apricots including ready to eat,Dried apricots (including ready to eat),Dried fruit,,
jelly,Jelly,"Non milk based sweet puddings: (excluding yoghurts and canned/stewed fruits) e.g. meringue, cheesecake, gateaux, jelly, fruit pies (pastry), crumble",,
tangerines / mandarins / clementines/ satsumas,Tangerines / mandarins / clementines/ satsumas,Fresh fruit,,
semi skimmed milk,Semi skimmed milk,Semi-skimmed milks: includes longlife semi-skimmed,,
natural yoghurt,Natural yoghurt,Whole milk yoghurt/fromage frais,1.0,plain dairy
jam/conserve stone fruit eg apricot,"Jam/conserve, stone fruit (e.g. apricot)","Preserves and syrups: glace cherries, honey, jam, marmalade, lemon curd, marzipan, mincemeat, chocolate spread, ice cream topping",,
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water
oats uncooked,Oats (uncooked),"Other breakfast cereals: muesli, bran flakes",,
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water
oats uncooked,Oats (uncooked),"Other breakfast cereals: muesli, bran flakes",,
french stick/baguette bread white,"French stick/baguette (bread), white",White bread/rolls,,
natural yoghurt,Natural yoghurt,Whole milk yoghurt/fromage frais,1.0,plain dairy
jam/conserve berries eg strawberry,"Jam/conserve, berries (e.g. strawberry)","Preserves and syrups: glace cherries, honey, jam, marmalade, lemon curd, marzipan, mincemeat, chocolate spread, ice cream topping",1.0,raw
chicken with a tomato and cheese sauce,Chicken with a tomato and cheese sauce,Chicken/Turkey dishes,,
jelly,Jelly,"Non milk based sweet puddings: (excluding yoghurts and canned/stewed fruits) e.g. meringue, cheesecake, gateaux, jelly, fruit pies (pastry), crumble",,
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water
nachos with cheese and salsa,"Nachos, with cheese and salsa","Non-potato snacks e.g. pretzels, tortilla crisps",,
tangerines / mandarins / clementines/ satsumas,Tangerines / mandarins / clementines/ satsumas,Fresh fruit,,
pasta shapes wholemeal,"Pasta shapes, wholemeal",Pasta,,
cucumber,Cucumber,"Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water
oatcakes / oat cakes,Oatcakes / Oat cakes,"Savoury biscuits and baked goods eg crackers, oatcakes, water biscuits, cheddars, cheese/savoury scones",,
clover spread/margarine,Clover spread/margarine,Dairy fat spreads includes hard marg,4.0,processed fat
fish fillet in breadcrumbs/batter grilled or oven baked,Fish fillet in breadcrumbs/batter grilled or oven baked,"Fish in crumbs: fishcakes, fishfingers",,
cereal bar with fruit with or without coating,"Cereal bar with fruit, with or without coating","Breakfast alternatives: nutrigrain bar, pop tart, breakfast cereal bars",,
toast 50:50 bread eg kingsmill,"Toast, 50:50 bread (e.g. Kingsmill)",Brown and wholemeal bread/rolls,,
lemon curd,Lemon curd,"Preserves and syrups: glace cherries, honey, jam, marmalade, lemon curd, marzipan, mincemeat, chocolate spread, ice cream topping",,
green pesto,Green pesto,"Other sauces e.g. vinegar, salad cream, tartare sauce, cook-in-canned sauce",,
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water
tomato fresh,"Tomato, fresh","Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,
oats uncooked,Oats (uncooked),"Other breakfast cereals: muesli, bran flakes",,
banana,Banana,Fresh fruit,,
reduced fat/light biscuits eg mcvities light digestive,Reduced fat/light biscuits (e.g. Mcvities light digestive),Sweet biscuits: excludes full coated biscuits,4.0,snack item
chicken breast fried,"Chicken breast, fried",Chicken/Turkey dishes,,
jam/conserve berries eg strawberry,"Jam/conserve, berries (e.g. strawberry)","Preserves and syrups: glace cherries, honey, jam, marmalade, lemon curd, marzipan, mincemeat, chocolate spread, ice cream topping",1.0,raw
broccoli steamed/microwaved,"Broccoli, steamed/microwaved","Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,
natural yoghurt,Natural yoghurt,Whole milk yoghurt/fromage frais,1.0,plain dairy
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water
cucumber,Cucumber,"Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,
broccoli steamed/microwaved,"Broccoli, steamed/microwaved","Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,
toast wholemeal brown bread,"Toast, wholemeal (brown) bread",Brown and wholemeal bread/rolls,,
pumpkin soup,Pumpkin soup,Soups,,
cucumber,Cucumber,"Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water
jam/conserve berries eg strawberry,"Jam/conserve, berries (e.g. strawberry)","Preserves and syrups: glace cherries, honey, jam, marmalade, lemon curd, marzipan, mincemeat, chocolate spread, ice cream topping",1.0,raw
chocolate and nut spread eg nutella,Chocolate and nut spread (e.g Nutella),"Preserves and syrups: glace cherries, honey, jam, marmalade, lemon curd, marzipan, mincemeat, chocolate spread, ice cream topping",4.0,branded sweet spread
marshmallows,Marshmallows,"Sweets (non-chocolate): toffee, boiled sweets, gums/jellies, mints, liquorice, raw jelly, popcorn",,
natural yoghurt,Natural yoghurt,Whole milk yoghurt/fromage frais,1.0,plain dairy
lettuce,Lettuce,"Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,
bagel white,"Bagel, white","Other breads <8g/100g fat: bagel, chapatis (made without fat), milk bread, grilled papadums, pitta, rye bread, soda, flour tortillas, crumpets",,
carrots raw,"Carrots, raw","Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",1.0,raw
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water
toast wholemeal brown bread,"Toast, wholemeal (brown) bread",Brown and wholemeal bread/rolls,,
garlic bread,Garlic bread,"Other breads with >8g/100g fat: naan, chapatis (made with fat), fried papadums, croissants, fried bread",,
pasta with a vegetable based sauce,Pasta with a vegetable based sauce,Non meat based pasta dishes,,
childrens' chewable vitamins with vitamin a 200ug c 40mg d 75ug e 6mg pastel,"Childrens' chewable vitamins with vitamin A (200ug), C (40mg), D (7.5ug), E (6mg), pastel",Misc,,
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water
vitalite dairy free spread/margarine,Vitalite Dairy free spread/margarine,Dairy fat spreads includes hard marg,4.0,processed fat
fruit yoghurt,Fruit yoghurt,Whole milk yoghurt/fromage frais,,
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water
fruit gums / jelly shapes eg winegums,Fruit gums / jelly shapes (e.g. winegums),"Sweets (non-chocolate): toffee, boiled sweets, gums/jellies, mints, liquorice, raw jelly, popcorn",,
mr whippy style ice cream,Mr whippy style ice cream,"Ice cream, ice cream desserts and lollies",,
ice cream topping sauce eg strawberry,Ice cream topping sauce (e.g. strawberry),"Preserves and syrups: glace cherries, honey, jam, marmalade, lemon curd, marzipan, mincemeat, chocolate spread, ice cream topping",1.0,raw
coated chicken pieces fried,"Coated chicken pieces, fried",Chicken in batter,,
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water
cod/haddock in batter from takeaway,"Cod/haddock in batter, from takeaway",Fish in batter: all fried fish in batter,4.0,fast food
semi skimmed milk,Semi skimmed milk,Semi-skimmed milks: includes longlife semi-skimmed,,
weetabix minis chocolate,"Weetabix minis, chocolate","Other breakfast cereals: muesli, bran flakes",4.0,snack item
fruit shoot,Fruit shoot,"Fruit drink, ready to drink (sweetened)e.g. sunny delight, umbongo, five alive",,
sweet and salty popcorn,Sweet and salty popcorn,"Sweets (non-chocolate): toffee, boiled sweets, gums/jellies, mints, liquorice, raw jelly, popcorn",,
apple skin eaten,"Apple, skin eaten",Fresh fruit,,
orange juice 100% fruit eg tropicana,"Orange juice, 100% fruit (e.g. Tropicana)",Fruit juices e.g. fresh orange juice,,
mushy peas,Mushy peas,"Peas: frozen, fresh, canned, dried & split",,
tomato ketchup,Tomato ketchup,Ketchup,4.0,processed ketchup
tomato ketchup,Tomato ketchup,Ketchup,4.0,processed ketchup
takeaway chips fries eg burger king kfc,"Takeaway chips, fries (e.g. Burger King, KFC)",Fried chips,4.0,fast food
takeaway chips chip shop style,"Takeaway chips, chip shop style",Fried chips,4.0,fast food
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water
roast/grilled chicken leg skin eaten,Roast/grilled chicken leg  (skin eaten),Chicken/Turkey dishes,,
yoplait frubes/wildlife choobs,Yoplait Frubes/Wildlife Choobs,Low fat yoghurt/fromage frais,,
spaghetti/tagliatelle pasta white or tricolore,"Spaghetti/tagliatelle (pasta), white or tricolore",Pasta,,
white basmati rice including easycook,White basmati rice (including easy-cook),Rice,,
meatballs in tomato sauce,Meatballs in tomato sauce,Pork and pork dishes,,
pain au chocolat/chocolate croissant,Pain au chocolat/chocolate croissant,"Cakes: sweet buns, sweet pastries, fruit scones and custard tart (sweet but not savoury based items)",,
iced biscuit eg iced gems,Iced biscuit (e.g. iced gems),Sweet biscuits: excludes full coated biscuits,4.0,snack item
ham sandwich with wholemeal/oatmeal bread,Ham sandwich with wholemeal/oatmeal bread,"Cereal based savouries with vegetable or meat additions: bhajis, samosas, pakora, prawn toasts, spring rolls, meat filled spring roll",,
cucumber,Cucumber,"Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,
