food_name_clean,Descriptionen,Foodgroupen,NOVA_step1,Match_reason,NOVA_step2,TFIDF_score,TFIDF_match_name,NOVA_final,Match_source
natural yoghurt,Natural yoghurt,Whole milk yoghurt/fromage frais,1.0,plain dairy,,,,1.0,Keyword
spinach raw not baby spinach,"Spinach, raw (not baby spinach)","Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",1.0,raw,,,,1.0,Keyword
oats uncooked,Oats (uncooked),"Other breakfast cereals: muesli, bran flakes",,,,0.5933606529621273,,,Unmatched
savoury cracker eg sesame and poppy thins butter puffs onion crackers monaco,"Savoury cracker (e.g. Sesame and poppy thins, butter puffs, onion crackers, monaco)","Savoury biscuits and baked goods eg crackers, oatcakes, water biscuits, cheddars, cheese/savoury scones",4.0,snack item,,,,4.0,Keyword
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,1.0,Keyword
carrot soup eg carrot & coriander,Carrot soup (e.g. carrot & coriander),Soups,,,,0.832002359280236,,,Unmatched
pain au chocolat/chocolate croissant,Pain au chocolat/chocolate croissant,"Cakes: sweet buns, sweet pastries, fruit scones and custard tart (sweet but not savoury based items)",,,4,0.9718705785327632,pain au chocolate chocolate croissant,4,TF-IDF
dried apple,Dried apple,Dried fruit,,,,0.7853996500256579,,,Unmatched
tomato based pasta sauce home made,"Tomato based pasta sauce, home made","Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",3.0,homemade item,,,,3.0,Keyword
apple and mango juice,Apple and mango juice,Fruit juices e.g. fresh orange juice,,,,0.7205496184512851,,,Unmatched
apple skin eaten,"Apple, skin eaten",Fresh fruit,,,,0.5317520969272483,,,Unmatched
red cabbage raw,"Red cabbage, raw","Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",1.0,raw,,,,1.0,Keyword
jam/conserve berries eg strawberry,"Jam/conserve, berries (e.g. strawberry)","Preserves and syrups: glace cherries, honey, jam, marmalade, lemon curd, marzipan, mincemeat, chocolate spread, ice cream topping",1.0,raw,,,,1.0,Keyword
fruit yoghurt,Fruit yoghurt,Whole milk yoghurt/fromage frais,,,,0.6080627731313163,,,Unmatched
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,1.0,Keyword
semi skimmed milk,Semi skimmed milk,Semi-skimmed milks: includes longlife semi-skimmed,,,,0.8440107678550299,,,Unmatched
kiwi fruit,Kiwi fruit,Fresh fruit,,,1,0.8973355880991024,kiwi fruit raw,1,TF-IDF
pasta shapes wholemeal,"Pasta shapes, wholemeal",Pasta,,,,0.5147748347903778,,,Unmatched
focaccia bread,Focaccia bread,"Other breads with >8g/100g fat: naan, chapatis (made with fat), fried papadums, croissants, fried bread",,,,0.503423520676201,,,Unmatched
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,1.0,Keyword
banana,Banana,Fresh fruit,,,4,0.894064151916772,banana cooked,4,TF-IDF
side salad eg including lettuce tomato cucumber no dressing,"Side salad (e.g. including lettuce, tomato, cucumber), no dressing","Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,,,0.46824857676024007,,,Unmatched
white bread,White bread,White bread/rolls,,,4,1.0000000000000002,bread white,4,TF-IDF
baked potato / jacket potato skin eaten,"Baked potato / jacket potato, skin eaten",Jacket potatoes: baked in skins,,,,0.6004145822829121,,,Unmatched
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,1.0,Keyword
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,1.0,Keyword
special flakes with berries/fruit eg kellogg's special k,"Special Flakes, with berries/fruit (e.g. Kellogg's Special K)","Other breakfast cereals: muesli, bran flakes",,,,0.7302214735633754,,,Unmatched
broccoli boiled,"Broccoli, boiled","Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",3.0,boiled or mashed,,,,3.0,Keyword
clover spread/margarine,Clover spread/margarine,Dairy fat spreads includes hard marg,4.0,processed fat,,,,4.0,Keyword
tuna mayonnaise home made,"Tuna mayonnaise, home made",Oily fish,3.0,homemade item,,,,3.0,Keyword
oatcakes / oat cakes,Oatcakes / Oat cakes,"Savoury biscuits and baked goods eg crackers, oatcakes, water biscuits, cheddars, cheese/savoury scones",,,,0.6969489449515971,,,Unmatched
dried apricots including ready to eat,Dried apricots (including ready to eat),Dried fruit,,,,0.8301156000904641,,,Unmatched
jelly,Jelly,"Non milk based sweet puddings: (excluding yoghurts and canned/stewed fruits) e.g. meringue, cheesecake, gateaux, jelly, fruit pies (pastry), crumble",,,,0.7121990376587233,,,Unmatched
tangerines / mandarins / clementines/ satsumas,Tangerines / mandarins / clementines/ satsumas,Fresh fruit,,,1,0.9052316041909536,tangerines mandarins clementines flesh only,1,TF-IDF
semi skimmed milk,Semi skimmed milk,Semi-skimmed milks: includes longlife semi-skimmed,,,,0.8440107678550299,,,Unmatched
natural yoghurt,Natural yoghurt,Whole milk yoghurt/fromage frais,1.0,plain dairy,,,,1.0,Keyword
jam/conserve stone fruit eg apricot,"Jam/conserve, stone fruit (e.g. apricot)","Preserves and syrups: glace cherries, honey, jam, marmalade, lemon curd, marzipan, mincemeat, chocolate spread, ice cream topping",,,,0.7330202390988245,,,Unmatched
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,1.0,Keyword
oats uncooked,Oats (uncooked),"Other breakfast cereals: muesli, bran flakes",,,,0.5933606529621273,,,Unmatched
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,1.0,Keyword
oats uncooked,Oats (uncooked),"Other breakfast cereals: muesli, bran flakes",,,,0.5933606529621273,,,Unmatched
french stick/baguette bread white,"French stick/baguette (bread), white",White bread/rolls,,,4,1.0000000000000002,bread white french stick,4,TF-IDF
natural yoghurt,Natural yoghurt,Whole milk yoghurt/fromage frais,1.0,plain dairy,,,,1.0,Keyword
jam/conserve berries eg strawberry,"Jam/conserve, berries (e.g. strawberry)","Preserves and syrups: glace cherries, honey, jam, marmalade, lemon curd, marzipan, mincemeat, chocolate spread, ice cream topping",1.0,raw,,,,1.0,Keyword
chicken with a tomato and cheese sauce,Chicken with a tomato and cheese sauce,Chicken/Turkey dishes,,,,0.7275830157824639,,,Unmatched
jelly,Jelly,"Non milk based sweet puddings: (excluding yoghurts and canned/stewed fruits) e.g. meringue, cheesecake, gateaux, jelly, fruit pies (pastry), crumble",,,,0.7121990376587233,,,Unmatched
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,1.0,Keyword
nachos with cheese and salsa,"Nachos, with cheese and salsa","Non-potato snacks e.g. pretzels, tortilla crisps",,,,0.7347337306742637,,,Unmatched
tangerines / mandarins / clementines/ satsumas,Tangerines / mandarins / clementines/ satsumas,Fresh fruit,,,1,0.9052316041909536,tangerines mandarins clementines flesh only,1,TF-IDF
pasta shapes wholemeal,"Pasta shapes, wholemeal",Pasta,,,,0.5147748347903778,,,Unmatched
cucumber,Cucumber,"Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,,,0.8439401505448992,,,Unmatched
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,1.0,Keyword
oatcakes / oat cakes,Oatcakes / Oat cakes,"Savoury biscuits and baked goods eg crackers, oatcakes, water biscuits, cheddars, cheese/savoury scones",,,,0.6969489449515971,,,Unmatched
clover spread/margarine,Clover spread/margarine,Dairy fat spreads includes hard marg,4.0,processed fat,,,,4.0,Keyword
fish fillet in breadcrumbs/batter grilled or oven baked,Fish fillet in breadcrumbs/batter grilled or oven baked,"Fish in crumbs: fishcakes, fishfingers",,,,0.6746494827091256,,,Unmatched
cereal bar with fruit with or without coating,"Cereal bar with fruit, with or without coating","Breakfast alternatives: nutrigrain bar, pop tart, breakfast cereal bars",,,,0.5101561030979201,,,Unmatched
toast 50:50 bread eg kingsmill,"Toast, 50:50 bread (e.g. Kingsmill)",Brown and wholemeal bread/rolls,,,,0.5744940751220311,,,Unmatched
lemon curd,Lemon curd,"Preserves and syrups: glace cherries, honey, jam, marmalade, lemon curd, marzipan, mincemeat, chocolate spread, ice cream topping",,,3,0.8723813888510458,lemon curd homemade,3,TF-IDF
green pesto,Green pesto,"Other sauces e.g. vinegar, salad cream, tartare sauce, cook-in-canned sauce",,,4,0.9319327500562353,pesto sauce green,4,TF-IDF
